year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,saleday
2013,Mercedes-Benz,C-Class,C250 Sport,Sedan,automatic,WDDGF4HB0DR255362,CA,43.0,23615,White,Black,hoehn motors inc,22600,22250,2014-12-16,Tuesday
2013,Nissan,Altima,2.5,Sedan,automatic,1N4AL3AP0DC283888,CA,4.0,39159,Silver,Black,enterprise vehicle exchange/orange,12800,13500,2014-12-16,Tuesday
2013,Nissan,Altima,2.5,Sedan,automatic,1N4AL3AP8DN508594,CA,4.0,37182,Gray,Black,avis corporation,12900,13300,2014-12-16,Tuesday
2013,Kia,Optima,EX Hybrid,Sedan,automatic,KNAGM4AD8D5056639,CA,43.0,21642,White,Black,kia motors america  inc,15900,16600,2014-12-16,Tuesday
2013,Kia,Sportage,LX,Suv,automatic,KNDPB3A28D7450308,CA,46.0,32685,Blue,Black,kia motors america  inc,14000,15250,2014-12-16,Tuesday
2013,Kia,Sorento,EX,Suv,automatic,5XYKU3A23DG334585,CA,33.0,71662,Black,Beige,kia of cerritos,14050,14000,2014-12-16,Tuesday
2013,Kia,Sorento,LX,Suv,automatic,5XYKT4A22DG332853,CA,43.0,28790,Blue,Black,kia motors america  inc -lemon law buybacks,16800,13500,2014-12-16,Tuesday
2013,Infiniti,G Sedan,G37x,G Sedan,automatic,JN1CV6AR7DM351570,CA,29.0,42887,Black,Black,the hertz corporation,21300,19900,2014-12-16,Tuesday
2013,Mazda,Mazda3,i Sport,Sedan,automatic,JM1BL1UP7D1731716,CA,38.0,39573,Blue,Black,avis corporation,10650,11800,2014-12-16,Tuesday
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,JN1CV6AP3DM720746,CA,24.0,42547,Black,Black,nissan infiniti lt,20500,17250,2014-12-16,Tuesday
2013,Lexus,Rx 350,Base,Suv,automatic,2T2BK1BA8DC191589,CA,46.0,21932,Burgundy,Black,desert auto trade,36200,37750,2014-12-16,Tuesday
2013,Mazda,Mazda5,Sport,Minivan,automatic,JM1CW2BL0D0149559,CA,44.0,14818,Black,Black,jpmorgan chase bank n.a.,13850,15000,2014-12-16,Tuesday
2013,Mercedes-Benz,C-Class,C250 Sport,Sedan,automatic,WDDGF4HB8DR256694,CA,43.0,23941,Black,Gray,hoehn motors inc,22600,21750,2014-12-16,Tuesday
2013,Nissan,Altima,2.5,Sedan,automatic,1N4AL3AP3DC208697,CA,41.0,21968,White,Beige,nissan dealer blend/ross nissan of el monte,13650,13750,2014-12-16,Tuesday
2013,Lexus,Es 350,Base,Sedan,automatic,JTHBK1GG3D2061489,CA,36.0,20880,Gray,Beige,enterprise vehicle exchange/orange,29400,29300,2014-12-16,Tuesday
2013,Volvo,Xc60,3.2,Suv,automatic,YV4940DL7D2432124,CA,43.0,34933,White,Black,avis corporation,21200,22900,2014-12-16,Tuesday
2013,Toyota,Sienna,LE 7-Passenger Mobility Auto Access,Minivan,automatic,5TDKK3DC4DS344460,CA,35.0,49188,Gray,Tan,the hertz corporation,17150,18000,2014-12-16,Tuesday
2014,Chevrolet,Cruze,1LT,Sedan,automatic,1G1PC5SB2E7128460,CA,2.0,28617,Black,Black,enterprise vehicle exchange / tra / rental / tulsa,11900,9800,2014-12-16,Tuesday
2014,Chevrolet,Camaro,LT,Coupe,automatic,2G1FB1E31E9248986,CA,1.0,20595,Red,Gray,enterprise vehicle exchange / tra / rental / tulsa,20800,13600,2014-12-16,Tuesday
